addr,total,success,fail
0x74edaf28fc4b9e6a1618d613839daaf6a9d075db,128,54,74
0x47c6182b8afb58832b75f38dac2525e585fd7c59,140,140,0
0x429881672b9ae42b8eba0e26cd9c73711b891ca5,206,206,0
0x9b02dd390a603add5c07f9fd9175b7dabe8d63b7,235,217,18
0xf81421fc15300c5a8cca9afe12f5cbad502fa756,95,31,64
0xd2489fd449af786ce6a8c5f52042ef239fac8009,311,275,36
0x88266e58a66cb5b1880814f6bfe5e12b68832b9d,10,10,0
0x7a8ce4beffe38f431a2f12e1a8b7d7dae62df359,86,50,36
0x0aa80dd6058d7730aeaea67c3525e7a61cda9725,28,0,28
0xa5ae87b40076745895bb7387011ca8de5fde37e0,234,7,227
0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,437,346,91
0xbaf27074da56d208b4981305caf6b55c097f256b,47,1,46
0xb596ed2a9edee1f2300bc4fe8ad809c16a42b407,74,0,74
0x7fac7eeb086d3c294abe48591073c4480251abce,29,29,0
0x9d58779365b067d5d3fcc6e92d237acd06f1e6a1,1854,16,1838
0x041371f35dcbf957301cf52c50bdf562f047f1b0,75,46,29
0xd2b6752132d59bf5d0577142c36376b7421c3163,95,94,1
0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0,342,342,0
0x1e87988de72c20634801b9f480b967f9ac2b1ffb,66,0,66
0x0dc56a3b08b8bf1545e08b840eeb085b9c123763,49,39,10
0x581416181453cdb892451db4acd476d95fc9fe66,89,4,85
0xd3e4ba569045546d09cf021ecc5dfe42b1d7f6e4,132,129,3
0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed,233,127,106
0xd3a4542fe6cdd6c1930f072b2d168cf506248acc,37,36,1
0x539e06a472e015ac95f4f31fb246f2d623a9261b,67,33,34
0xa36fdbbae3c9d55a1d67ee5821d53b50b63a1ab9,58,57,1
0x38d8b04ab6b9392c8e14f4745eb25dc3f4a49bb0,114,64,50
0xaf95e486d156476f9816df9a7356dc96257a5282,76,30,46
0x8d96b4ab6c741a4c8679ae323a100d74f085ba8f,52,52,0
0x93e57b6aeb89fc074313f71922c95abc3894a050,38,35,3
0x575409f8d77c12b05fed8b455815f0e54797381c,291,55,236
0x33fd4167e51a10d19c89c3a606389d0fddc3e676,122,82,40
0x3f2d1562c5e8109f697a19fa4eea6cca5ca138df,141,32,109
0xee637e90bf26425fe091a15ec721fefc158250f4,58,53,5
0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,126,126,0
0x9acd29e52ccd4c20016b72fb816ee207c8de4d47,172,3,169
0x793b176a8b4833ea4aabcedfea55f2898bd6b753,30,30,0
0x30808a6047f3d61c38ff43d8390da350d9be1870,168,166,2
0x430fef0e064dfde9f72888bd6f619fa58e7723e6,18,18,0
0xc6735852e181a55f736e9db62831dc63ef8c449a,183,9,174
0x510887c470ee8eebebff0104b54d24aef8c45368,190,39,151
0xc005204856ee7035a13d8d7cdbbdc13027afff90,78,78,0
0x000a682feeeffc5e56a58a3b015fb07665d8a979,115,52,63
0xc57d533c50bc22247d49a368880fb49a1caa39f7,142,78,64
0x52c840f129dfb42a30f46f567de3d0bf71d77e78,111,1,110
