addr,total,success,fail
0xdbbc658455c3fde5e5eabdcb2f0e53a585e9ed9d,39,1,38
0xe28b3b32b6c345a34ff64674606124dd5aceca30,281,30,251
0x39207d2e2feef178fbda8083914554c59d9f8c00,79,4,75
0x5f1cbe84d44e292fe3eae51b87f34bbdc8f04fc8,210,7,203
0x38ec27c6f05a169e7ed03132bca7d0cfee93c2c5,81,75,6
0xba100000625a3754423978a60c9317c58a424e3d,407,11,396
0x21381e026ad6d8266244f2a583b35f9e4413fa2a,111,14,97
0x31c823260528ba98e3bf797b2add2302af097392,165,31,134
0x74edaf28fc4b9e6a1618d613839daaf6a9d075db,128,1,127
0x47c6182b8afb58832b75f38dac2525e585fd7c59,140,79,61
0x429881672b9ae42b8eba0e26cd9c73711b891ca5,206,120,86
0x9b02dd390a603add5c07f9fd9175b7dabe8d63b7,235,4,231
0x88266e58a66cb5b1880814f6bfe5e12b68832b9d,10,10,0
0x0aa80dd6058d7730aeaea67c3525e7a61cda9725,28,2,26
0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,437,87,350
0xbaf27074da56d208b4981305caf6b55c097f256b,47,1,46
0x60e4d786628fea6478f785a6d7e704777c86a7c6,480,5,475
0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0,342,333,9
0x0dc56a3b08b8bf1545e08b840eeb085b9c123763,49,4,45
0xd3e4ba569045546d09cf021ecc5dfe42b1d7f6e4,132,62,70
0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed,233,1,232
0xa36fdbbae3c9d55a1d67ee5821d53b50b63a1ab9,58,33,25
0x38d8b04ab6b9392c8e14f4745eb25dc3f4a49bb0,114,19,95
0x8d96b4ab6c741a4c8679ae323a100d74f085ba8f,52,52,0
0x575409f8d77c12b05fed8b455815f0e54797381c,291,7,284
0x3f2d1562c5e8109f697a19fa4eea6cca5ca138df,141,45,96
0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,126,1,125
0x9acd29e52ccd4c20016b72fb816ee207c8de4d47,172,6,166
0x793b176a8b4833ea4aabcedfea55f2898bd6b753,30,2,28
0x510887c470ee8eebebff0104b54d24aef8c45368,190,13,177
0xc005204856ee7035a13d8d7cdbbdc13027afff90,78,78,0
0xc57d533c50bc22247d49a368880fb49a1caa39f7,142,2,140
0x52c840f129dfb42a30f46f567de3d0bf71d77e78,111,10,101
0x213fde8b7fbb8b9ecf7f34792e604eafb9bd292f,210,12,198
0x50de6856358cc35f3a9a57eaaa34bd4cb707d2cd,179,113,66
0x69a96059cc35da280af8005d165da1d040297696,461,5,456
0xa4fa96ddc3f0beed8c90e8ee32c5d674ae4f2f8e,21,0,21
0xee0ba89699a3dd0f08cb516c069d81a762f65e56,297,28,269
0xe0a189c975e4928222978a74517442239a0b86ff,240,18,222
0x7778360f035c589fce2f4ea5786cbd8b36e5396b,91,14,77
0x8d768fc1e3af47acc8d8ed5596379ae05310f470,127,14,113
0x480711809d2c4622fe3f7ef09ee6a7fe6b8649f1,202,9,193
0x5047aa3b10286fe2c9b98972ff4e352eefcf4dfe,23,5,18
0xcb54762349709374c3fc9763155165c5fe90e0eb,205,5,200
0xb009ed24a16c9658daf74c599365569b6ef27d4b,82,1,81
0x8cd8155e1af6ad31dd9eec2ced37e04145acfcb3,272,2,270
0xd6a152c351588eec72556bc9769d9b22f37bfbf1,133,17,116
0xcfb152e5b93fc2c9906d4ff41fc8407dfa5e8851,86,86,0
0x0e1f990d264a9818460dde1b81c0b04d8a88e751,36,11,25
0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f,253,17,236
0x6f6c8013f639979c84b756c7fc1500eb5af18dc4,260,0,260
0xa258c4606ca8206d8aa700ce2143d7db854d168c,264,264,0
0xc29eecf43c89071fa2e8febbbbad86c14d7f4c44,59,0,59
0xd23c25eb1bad8b1de60cbd313c09209055fd74c0,50,0,50
0x9b27dd5bb15d42dc224fcd0b7caebbe16161df42,7,7,0
0x2e2691819d3441994e9709e776bd77d08cd9e89b,63,20,43
0x491e136ff7ff03e6ab097e54734697bb5802fc1c,122,9,113
0x847e696ac0a0dff058cc34b04725fc3d2ed686cb,71,0,71
0x428dc22668e6f3468273634067e5545ed5417a3e,103,100,3
