addr,total,success,fail
0x9a0b657dcfcd65774a3fb5219e09fad0debf2e56,179,171,8
0xdca9e0c6d45eeee6cbbeaae37ba2f310230d27d1,93,31,62
0xdbcab7a768ea9a00b2ffa5a2eb387cad609e2114,201,124,77
0x5403e89be8c4595c5d5eec8ed7be4949d15b5f9e,41,13,28
0xe66747a101bff2dba3697199dcce5b743b454759,169,62,107
0xe3a56e474892be0778038d53b9945f0f72fec628,203,44,159
0x75c24725d2874f12874d67b1e7e24b593f0f91c5,73,6,67
0x6044e4c62ba46f0733f2f62bfd5259f365d572d4,16,16,0
0xa094b1e927093fae077b6a89b440e2575de9143e,96,29,67
0x6018e493558a0e6d6079762b52b4d88e14f0354e,18,10,8
0x5c1a0cc6dadf4d0fb31425461df35ba80fcbc110,396,65,331
0xfcd433977292f107aac6e30e7712d0e38eeb4a7c,158,127,31
0x00281dfce4cfd72c0b6fda2aaaf077258743f9e8,63,22,41
0xc3af7bb38999e8a1db7849e30706efbf8ffd57fa,39,17,22
0xfc1c17926389e94a946edb42e16c0a42a6ec2806,52,40,12
0xc3683a429c01604915a932f8d8c2d9b6086a49ab,27,26,1
0x663e4229142a27f00bafb5d087e1e730648314c3,457,457,0
0xc58212bd2cc5d60cb89e980713461be027389b2c,92,51,41
0x8447783298ac335afedcfe67978dc9e6689b28b3,49,49,0
0xe89c20096b636ffec9fd26d1a623f42a33ead309,48,48,0
0xf9afa20983e169879683582dbb60be9c354fa738,100,86,14
0xc8e3c50bdc2b6df0963936b4c62a106c43eb1093,116,104,12
0x3c52031019312bdf2d24b13b51a60b1e8607ce22,23,8,15
0x9184b91159c8912eb57f73b737cddd24ba521581,217,134,83
0xb4c1216b653dc657c043e347ce13bb9a620c2c29,229,29,200
0xeea95c5e799565343f4d70bb76878ca8086fcc11,237,234,3
0xc2b3daf1b51238bd13afcef6e713813e6c2574e8,154,12,142
0x5c9f8b00db5ae281e8f401789224fe0227f24d81,66,66,0
0x436cc556d9a9517d0808ace3ba1f52fe7a15d831,83,51,32
0xd7f0cc50ad69408ae58be033f4f85d2367c2e468,97,96,1
0x23d29535dd1a10d8783f76a5bd32c860262b8191,248,71,177
0x537b2279d8f625a1b74cf3c1f0e2122fb047a6b0,177,39,138
0x6a48a272210eaa205c279e1c862f87875c623ae2,182,27,155
0x5a35a6686db167b05e2eb74e1ede9fb5d9cdb3e0,107,68,39
0x7d572ca644cc9bb4ef079ae59527fa6634b8f9be,32,32,0
0xed2647bbf875b2936aaf95a3f5bbc82819e3d3fe,158,14,144
0xd6d80461b1875a8679fe789db689156f42b7f86b,130,39,91
0xd7c302fc3ac829c7e896a32c4bd126f3e8bd0a1f,54,54,0
