addr,result,time,error_info
0x352bb674cd16ad62eeb2266809c9c2a395166c56,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x352bb674cd16ad62eeb2266809c9c2a395166c56.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0x3b49ec0769d461fdfd2ed18dd69b3b8cb7788597,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x3b49ec0769d461fdfd2ed18dd69b3b8cb7788597.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0xef0881ec094552b2e128cf945ef17a6752b4ec5d,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0xef0881ec094552b2e128cf945ef17a6752b4ec5d.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0xd85a6ae55a7f33b0ee113c234d2ee308edeaf7fd,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0xd85a6ae55a7f33b0ee113c234d2ee308edeaf7fd.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0xd30a54192b482125b86db9fa230666b0ddb68c2f,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0xd30a54192b482125b86db9fa230666b0ddb68c2f.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0x511bc4556d823ae99630ae8de28b9b80df90ea2e,Success,9.517620086669922,
0x9b02dd390a603add5c07f9fd9175b7dabe8d63b7,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x9b02dd390a603add5c07f9fd9175b7dabe8d63b7.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0xebfb47a7ad0fd6e57323c8a42b2e5a6a4f68fc1a,Success,4.501580476760864,
0x276a6eed56918ed29b0589dc2b704afe12271231,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x276a6eed56918ed29b0589dc2b704afe12271231.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0xd01409314acb3b245cea9500ece3f6fd4d70ea30,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0xd01409314acb3b245cea9500ece3f6fd4d70ea30.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0x2610f0bfc21ef389fe4d03cfb7de9ac1e6c99d6e,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x2610f0bfc21ef389fe4d03cfb7de9ac1e6c99d6e.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0x177ef8787ceb5d4596b6f011df08c86eb84380dc,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x177ef8787ceb5d4596b6f011df08c86eb84380dc.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
